BioGro No;Licensee Name;Address;Input Name;Sub Type;Category;Expiry Date
5441;FSP Australia;"Octal Street
20
Brisbane, Yatala 4207";"“Reggie Post” Innovative Intermediate Trellis (Grape) Post
 ";Farm Management;Crop Husbandry / Orchard Management;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";µInoculate PP9;Soil & Plant Nutrition;Microorganisms;31.07.2023
4436;Biostart Ltd;"Anzac Street
33A
Auckland, Takapuna 0622";µInoculate PP9;Soil & Plant Nutrition;Microorganisms;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";µInoculate PP9 (SKU# 158042);Soil & Plant Nutrition;Microorganisms;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - Bird Scare;Crop Management;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - E 15;Soil & Plant Nutrition;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - Etherics 1000;Soil & Plant Nutrition;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - Etherics 5;Crop Management;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - Etherics 7;Soil & Plant Nutrition;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - FG4;Crop Management;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - Kiwifruit Pepper;Crop Management;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - PhotoMax;Crop Management;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - RC (Rabbit Chase);Crop Management;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - SilicaMax;Soil & Plant Nutrition;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - ThermoMax;Crop Management;Homeopathic Preparation;31.07.2023
2753;BdMax Ltd;"Tauroa Road
32
Havelock North 4130";2573 - ZeroIn;Crop Management;Homeopathic Preparation;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";AAB 200c;Livestock Treatment;Homeopathic Preparation;31.07.2023
6259;Aakland Chemicals (1997) Ltd;"Wigram Close
12
Christchurch, Wigram 8042";Aakland Peroxyacetic Acid;Facility Management;Cleaning;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";"Abrotanum 30c
";Livestock Treatment;Homeopathic Preparation;31.07.2023
5139;Agrifert (NZ) Limited;"Auster Place
15
New Plymouth, Bell Block 4373";Acadian Kelp meal;Livestock Feed / Supplement;Feed;31.07.2023
5348;Acadian Seaplants;"Bren Street
4
Cornwallis Park, Cornwallis BOS 1H8";Acadian Organic Marine Plant Extract;Soil & Plant Nutrition;Seaweed Fertiliser;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Acadian Organic Marine Plant Extract (SKU# 1012473, 1012472);Soil & Plant Nutrition;Seaweed Fertiliser;31.07.2023
5622;Total Fert Ltd;"Finlayson Road
150
Kopuku, Maramarua 2471";Acadian Seaweed Flour;Soil & Plant Nutrition;Seaweed Fertiliser;31.07.2023
5139;Agrifert (NZ) Limited;"Auster Place
15
New Plymouth, Bell Block 4373";Acadian Seaweed Flour / Acadian Kelp Meal;Soil & Plant Nutrition;Seaweed Fertiliser;31.07.2023
5348;Acadian Seaplants;"Bren Street
4
Cornwallis Park, Cornwallis BOS 1H8";Acadian Soluble Seaweed Powder;Soil & Plant Nutrition;Seaweed Fertiliser;31.07.2023
5936;Zenith Ltd;"Bristol Street
270
Inglewood, Inglewood 4330";Acetic Acid;Soil & Plant Nutrition;Other;31.07.2023
4885;IXOM Operations Pty Ltd;"Totara Street
166
Mt Manganui 3116";Acetic acid;Facility Management;Cleaning;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Aconite 30c, 200c;Livestock Treatment;Homeopathic Preparation;31.07.2023
