,UID,Product,BioGro #,Licensee,Scope,Type,Variety,Certificate Valid Until,Available,Store #
0,0,Avocados,10,Doug David & Jeff Brown,Primary,Orchard,Fuerte,05/07/2023,False,
1,1,Avocados,10,Doug David & Jeff Brown,Primary,Orchard,Hass,05/07/2023,False,
2,2,Avocados,10,Doug David & Jeff Brown,Primary,Orchard,Fuerte,05/07/2023,False,
3,3,Avocados,10,Doug David & Jeff Brown,Primary,Orchard,Hass,05/07/2023,False,
4,4,Avocados,12,Trevor Caines,Primary,Orchard,Hayes,30/04/2024,False,
5,5,Avocados,12,Trevor Caines,Primary,Orchard,Fuerte,30/04/2024,False,
6,6,Avocados,12,Trevor Caines,Primary,Orchard,Zutano,30/04/2024,False,
7,7,Avocados,12,Trevor Caines,Primary,Orchard,Hass,30/04/2024,False,
8,8,Kiwifruit,12,Trevor Caines,Primary,Orchard,Hayward,30/04/2024,False,
9,9,"Jim: Pasture, Native trees",15,Common Property,Primary,Pasture,,31/08/2023,False,
10,10,"Pranah Greens - Mayatita: Micro Greens, Wheatgrass, Sunflower Greens, Pepino",15,Common Property,Primary,Orchard,,31/08/2023,False,
11,11,"Common Property Nursery Production: Vegetable and Herb Seedlings, Potted Gooseberries, Passionfruit Plants, Strawberries",15,Common Property,Primary,Cropping,,31/08/2023,False,
12,12,"Thomas Organic Strawberries -Peter: Strawberries, Raspberries, Strawberry Plants, Blackberries, Tayberries",15,Common Property,Primary,Cropping,,31/08/2023,False,
13,13,"Common Property Cropping: Feijoas, Lemons, Mixed Fresh Vegetables, Mixed Fresh Herbs",15,Common Property,Primary,Orchard,,31/08/2023,False,
14,14,"Reuben: Corn, Eggplant, Herbs & Vegetables",15,Common Property,Primary,Pasture,,31/08/2023,False,
15,15,"Kapiti Organics - Alan: Salad Greens, Brassica Leaf Crops, Squash, Kohlrabi, Zucchini, Cucumbers, Fennel, Herbs",15,Common Property,Primary,Cropping,,31/08/2023,False,
16,16,"Processing of Grain - Wheat, Rye, Oats, Barley, Pearled Barley, Dinkle (spelt), Lentils",19,Milmore Downs,Non-Primary,Processing,,31/07/2023,False,
17,17,Seed Cleaning and barley pearling of certified organic grain and seed,19,Milmore Downs,Non-Primary,Contracted Operator,,31/07/2023,False,
18,18,Wheat,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
19,19,Lentils,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
20,20,Sheep,19,Milmore Downs,Primary,Livestock,,31/07/2023,False,
21,21,Lambs,19,Milmore Downs,Primary,Livestock,,31/07/2023,False,
22,22,Beef Cattle,19,Milmore Downs,Primary,Livestock,,31/07/2023,False,
23,23,Greasy Wool,19,Milmore Downs,Primary,Livestock,,31/07/2023,False,
24,24,Straw,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
25,25,Pasture,19,Milmore Downs,Primary,Pasture,,31/07/2023,False,
26,26,Barley,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
27,27,Oats,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
28,28,Dinkle (spelt),19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
29,29,Rye,19,Milmore Downs,Primary,Cropping,,31/07/2023,False,
30,30,Hay,19,Milmore Downs,Primary,Pasture,,31/07/2023,False,
31,31,Baleage,19,Milmore Downs,Primary,Pasture,,31/07/2023,False,
32,32,Beef,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
33,33,Lambs,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
34,34,Milk,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
35,35,Dairy Cows,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
36,36,Pasture,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Pasture,,31/07/2023,False,
37,37,Cull Cows for NOP Meat,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
38,38,Sheep,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
39,39,Greasy Wool,40,JC Thevenard & SE Miller-Thevenard Partnership,Primary,Livestock,,31/07/2023,False,
40,40,Pasture,56,Robert Jackie and Mark Aitchison,Primary,Pasture,,31/08/2023,False,
41,41,Baleage,56,Robert Jackie and Mark Aitchison,Primary,Pasture,,31/08/2023,False,
42,42,Greasy wool,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
43,43,Greasy wool,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
44,44,Barley,56,Robert Jackie and Mark Aitchison,Primary,Cropping,,31/08/2023,False,
45,45,Lambs,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
46,46,Cattle,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
47,47,Cattle,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
48,48,Lambs,56,Robert Jackie and Mark Aitchison,Primary,Livestock,,31/08/2023,False,
49,49,Wheat,56,Robert Jackie and Mark Aitchison,Primary,Cropping,,31/08/2023,False,
