Input,BioGro #,Licensee,Type,Category,Sub Type
“Reggie Post” Innovative Intermediate Trellis (Grape) Post,5441.0,FSP Australia,Farm Management,Crop Husbandry / Orchard Management,
µInoculate PP9,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Microorganisms,Inoculant
µInoculate PP9,4436.0,Biostart Ltd,Soil & Plant Nutrition,Microorganisms,Inoculant
µInoculate PP9 (SKU# 158042),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Microorganisms,
1Step VP41,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
2573 - Bird Scare,2573.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
2573 - E 15,2573.0,BdMax Ltd,Soil & Plant Nutrition,Homeopathic Preparation,
2573 - Etherics 1000,2573.0,BdMax Ltd,Soil & Plant Nutrition,Homeopathic Preparation,
2573 - Etherics 5,2573.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
2573 - Etherics 7,2573.0,BdMax Ltd,Soil & Plant Nutrition,Homeopathic Preparation,
2573 - FG4,2573.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
2573 - Kiwifruit Pepper,2573.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
2573 - PhotoMax,2573.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
2573 - RC (Rabbit Chase),2573.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
2573 - SilicaMax,2573.0,BdMax Ltd,Soil & Plant Nutrition,Homeopathic Preparation,
2573 - ThermoMax,2573.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
2573 - ZeroIn,2573.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
AAB 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Aakland Peroxyacetic Acid,6259.0,Aakland Chemicals (1997) Ltd,Facility Management,Cleaning,Other
Abrotanum 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Acadian Kelp meal,5139.0,Agrifert (NZ) Limited,Livestock Feed / Supplement,Feed,
Acadian Organic Marine Plant Extract,5348.0,Acadian Seaplants,Soil & Plant Nutrition,Seaweed Fertiliser,
"Acadian Organic Marine Plant Extract (SKU# 1012473, 1012472)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Acadian Seaweed Flour,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Acadian Seaweed Flour / Acadian Kelp Meal,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Seaweed Fertiliser,
Acadian Soluble Seaweed Powder,5348.0,Acadian Seaplants,Soil & Plant Nutrition,Seaweed Fertiliser,
Acetic Acid,5936.0,Zenith Ltd,Soil & Plant Nutrition,Other,
Acetic acid,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
"Aconite 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Aconitum C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Actiflore BO213,5587.0,Laffort New Zealand Ltd,Inoculant,,
Actiflore Cerevisiae,5587.0,Laffort New Zealand Ltd,Inoculant,,
Actiflore F33,5587.0,Laffort New Zealand Ltd,Inoculant,,
Actiflore Rose,5587.0,Laffort New Zealand Ltd,Inoculant,,
Actigreen,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Actigreen,2594.0,De Sangosse New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Actinomyces 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Active Teat Conditioner (SKU# 1033286, 1023844, 1023845)",4472.0,Farmlands Co-Operative Society Ltd,Livestock Treatment,Remedies,Teat Conditioner
"Activforce (SKU# 1018685, 1028745)",4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,
"ActivforceK (SKU# 1018686, 1042077)",4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,
Activist Cal Mag,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Other
AEB Auxilia,6204.0,Enovation Group,Inoculant,,
AEB Levulia Alcomeno,6204.0,Enovation Group,Inoculant,,
AEB Levulia Probios,6204.0,Enovation Group,Inoculant,,
AEB Levulia Torula,6204.0,Enovation Group,Inoculant,,
AEB Primaflora VB BIO,6204.0,Enovation Group,Inoculant,,
AEB Primaflora VR BIO,6204.0,Enovation Group,Inoculant,,
Aerolime (Aerial Lime),4928.0,Graymont (NZ) Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Aerolime (Aerial Lime),4928.0,Graymont (NZ) Ltd,Livestock Feed / Supplement,Supplement,Mineral
AG Copp 75,4432.0,Horticentre Ltd,Crop Management,Fungicide,
AG Copp 75,5646.0,American Chemet Corp,Crop Management,Fungicide,
Ag Drier,4928.0,Graymont (NZ) Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Drier,4928.0,Graymont (NZ) Ltd,Livestock Feed / Supplement,Supplement,Mineral
Ag Lime,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Lime,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Lime,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Lime,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Lime,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Lime,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
